,marketCap
A,48856465408
AA,9126754304
AAC,1227499904
AACG,67463472
AACI,202746000
AADI,533841696
AAIC,122696528
AAL,12713936896
AAMC,50361220
AAME,86201480
AAN,798256512
AAOI,163239648
AAON,4035383296
AAP,14909115392
AAPL,2454233284608
AAQC,488500032
AAT,2332408832
AATC,37087284
AAU,54476736
AAWW,2568278784
AB,5536914944
ABB,70007398400
ABBV,206628208640
ABC,25941170176
ABCB,3722001408
ABCL,4516559360
ABCM,5135883776
ABEO,89474544
ABEV,51141881856
ABG,4213011200
ABGI,188879504
ABIO,35160644
ABM,3271279872
ABMD,15910476800
ABNB,131932168192
ABOS,464573760
ABR,2871820032
ABSI,1037950784
ABST,479274176
ABT,232016265216
ABTX,866390528
ABUS,449000960
ABVC,92276968
AC,896882368
ACA,2685681408
ACAD,3165285632
ACAH,419175008
ACB,1569787264
ACBA,61448096
ACBI,607516608
ACC,7591013888
ACCD,2309247744
ACCO,867321984
ACEL,1184306048
ACER,34058276
ACET,295587456
ACEV,286260864
ACGL,16565149696
ACGLO,15014542336
ACH,12666926080
ACHC,5826028032
ACHL,227383664
ACHR,1394474112
ACHV,76479144
ACI,15961660416
ACII,421331264
ACIU,409761248
ACIW,4046621440
ACLS,2048675712
ACM,10523369472
ACMR,2095137792
ACN,234642014208
ACNB,244505376
ACOR,39268072
ACP,199651952
ACQR,606068672
ACR,139656016
ACRE,740748352
ACRO,374662496
ACRS,874938112
ACRX,85964536
ACST,69173744
ACT,3722522624
ACTD,381174912
ACTG,274472768
ACU,129835264
ACV,384958016
ACVA,3108388608
ACXP,50521116
ACY,189843248
ADAG,455180448
ADAP,664648064
ADBE,316354658304
ADC,4902023680
ADCT,2036585472
ADER,339281248
ADES,144416272
ADEX,336375008
ADF,151567648
ADGI,2199452160
ADI,99926204416
ADIL,64002868
ADM,37292339200
ADMA,297637280
ADMP,147352480
ADMS,373621920
ADN,487934304
ADNT,4367887872
ADOC,120282752
ADP,99408699392
ADPT,4562811904
ADRA,141881248
ADS,3895430400
ADSK,72809922560
ADT,7535471104
ADTN,1032502784
ADTX,32803656
ADUS,1637495936
ADV,2838494464
ADVM,207591680
ADX,2454807040
ADXN,46873960
ADXS,56798816
AE,130351680
AEAC,292349984
AEE,22110322688
AEF,427766624
AEG,10061149184
AEHA,132250000
AEHL,12292321
AEHR,569412480
AEI,48054248
AEIS,3466230784
AEL,3535618560
AEM,14071133184
AEMD,41905312
AENZ,332914912
AEO,4584812032
AEP,41439268864
AER,8454567424
AERI,533176800
AES,16575858688
AESE,71969712
AEVA,1905501696
AEY,25101724
AEYE,97153744
AEZS,65035472
AFAQ,273000000
AFB,426335744
AFBI,102402184
AFCG,328157376
AFG,11873946624
AFGC,26768070
AFI,46442520
AFIB,101246760
AFIN,917495936
AFINP,1225063296
AFL,39274557440
AFMD,719249344
AFRM,38229061632
AFT,254152992
AFYA,1415763200
AG,3452875520
AGAC,504044992
AGBA,58665828
AGC,863524992
AGCB,604957504
AGCO,9561095168
AGD,154171840
AGE,30890552
AGEN,716397440
AGFS,100101016
AGFY,432691520
AGGR,378587520
AGI,3348753152
AGIO,2476210432
AGL,9972692992
AGLE,343143488
AGM,1386016768
AGMH,232142976
AGNC,8402816000
AGNCM,9097117696
AGNCN,8775619584
AGNCP,6454839296
AGO,4040814080
AGR,15801063424
AGRO,1153882496
AGRX,64476628
AGS,278657024
AGTC,101542648
AGTI,3219972864
AGX,707257536
AGYS,1111098880
AHCO,3259558912
AHH,895729984
AHPI,20436946
AHT,2612371968
AI,4748377088
AIC,657326144
AIF,230483840
AIG,49715539968
AIH,91323872
AIHS,33653800
AIKI,68258512
AIM,80359440
AIMC,3850829312
AIN,2832709888
AINC,73435216
AINV,851685888
AIO,968763392
AIR,1333664256
AIRC,8464683008
AIRG,106105576
AIRI,33966156
AIRT,83054920
AIRTP,611863104
AIT,4098500864
AIV,1211032576
AIZ,9705192448
AJG,32676892672
AJRD,3513355264
AJX,319084544
AKAM,18019227648
AKBA,453926048
AKIC,286453408
AKR,1912547712
AKRO,871697280
AKTS,382843904
AKTX,64232676
AKU,152268288
AKUS,303153856
AKYA,499831744
AL,5357551104
ALAC,53767544
ALACR,1343750
ALACU,50588580
ALACW,905250
ALB,31353862144
ALBO,519408576
ALC,41195446272
ALCO,273423776
ALDX,493034944
ALE,3337480192
ALEC,1767242368
ALEX,1763912448
ALF,49567168
ALG,1858647936
ALGM,6292591104
ALGN,54030512128
ALGS,631825280
ALGT,3134306816
ALHC,4213665024
ALIM,38748704
ALJJ,48457544
ALK,6814443520
ALKS,3674350848
ALKT,2425133824
ALL,34471882752
ALLE,12170436608
ALLK,4425928704
ALLO,2723851264
ALLT,420518912
ALLY,18270867456
ALNA,46653984
ALNY,20173660160
ALOT,128823824
ALPN,317596448
ALPP,456825760
ALRM,4153814784
ALRN,74068792
ALRS,579321600
ALSN,4056451328
ALT,421558464
ALTG,536153440
ALTM,1041888000
ALTO,383901408
ALTR,5907279360
ALTU,372000000
ALV,9526855680
ALVR,1383847168
ALX,1389438208
ALXO,1781379968
ALYA,242893520
ALZN,187609280
AM,4981231104
AMAL,578858560
AMAM,441109856
AMAO,134944816
AMAT,142827814912
AMBA,6854115840
AMBC,782116928
AMBO,29059816
AMC,21272393728
AMCR,19202994176
AMCX,1990892416
AMD,179956613120
AME,32602300416
AMED,5892890112
AMEH,6428788224
AMG,7551232000
AMGN,119501488128
AMH,12905583616
AMK,1979225728
AMKR,5674835968
AMN,5288069632
AMNB,420246944
AMOT,600066176
AMOV,60068982784
AMP,35726557184
AMPE,250481904
AMPG,38122172
AMPH,1018921152
AMPI,280312512
AMPY,110834416
AMR,916005952
AMRC,4748247552
AMRK,746388864
AMRN,1624486656
AMRS,2263271680
AMRX,757733440
AMS,15316381
AMSC,432175648
AMSF,1089114240
AMST,28779500
AMSWA,1008057472
AMT,118464225280
AMTB,1105081344
AMTBB,1184022528
AMTI,844656256
AMTX,563068096
AMWD,1253831168
AMWL,1961908736
AMX,60579770368
AMYT,398593472
AMZN,1786169393152
AN,10244274176
ANAB,855561216
ANAC,385824512
ANAT,5112869888
ANDE,1237223680
ANEB,152440240
ANET,40037654528
ANF,2867032064
ANGI,5619806208
ANGN,126068600
ANGO,1113230720
ANIK,572054144
ANIP,561956992
ANIX,133277048
ANNX,575131072
ANPC,21516000
ANSS,34568683520
ANTE,37370340
ANTM,106897580032
ANVS,193273744
ANY,119265200
ANZU,415225024
AOD,1073269184
AOMR,447322656
AON,68253708288
AOS,13311429632
AOSL,1137837184
AOUT,345145344
AP,96169168
APA,11222018048
APAM,3947838720
APD,68957519872
APDN,38553520
APEI,466777504
APEN,273602304
APG,5002254336
APGB,847837504
APH,50779430912
API,3144738816
APLE,3532646656
APLS,3660189696
APLT,363965920
APM,76985552
APO,17637658624
APOG,1193919872
APP,37185703936
APPF,4385587200
APPH,577206656
APPN,6121655808
APPS,6068333056
APR,1070287168
APRE,99156344
APRN,143685968
APSG,1003652800
APT,68851528
APTO,226310112
APTS,707586240
APTV,46708961280
APTX,160057584
APVO,43827972
APWC,37520484
APYX,559381760
AQB,250709072
AQMS,134724752
AQN,8776859648
AQST,217229008
AQUA,5406290944
AR,6141249536
ARAV,80532600
ARAY,511211200
ARBG,281692512
ARC,131964320
ARCB,2841779712
ARCC,9228979200
ARCE,1044639040
ARCH,1253198592
ARCO,1087110144
ARCT,943319552
ARDC,374798400
ARDS,32123848
ARDX,107570576
ARE,30429011968
AREC,128909736
ARES,14087700480
ARGO,2060325760
ARGX,15541308416
ARI,2051398912
ARKO,1260455680
ARKR,61947932
ARL,191724240
ARLO,625414208
ARLP,1329645696
ARMK,9473341440
ARMP,86640456
ARNA,3611120384
ARNC,3439350272
AROC,1249377920
AROW,574227776
ARQT,996433664
ARR,730258112
ARRW,350031232
ARRY,3345656832
ARTL,18982262
ARTLW,513649
ARTNA,409118176
ARTW,17466858
ARVL,8001272320
ARVN,3996449280
ARW,9330597888
ARWR,6729095168
ARYD,196067584
ASA,435758848
ASAI,7482503680
ASAN,21849649152
ASAQ,306874976
ASB,3575707136
ASC,131674832
ASG,427283872
ASGI,75768656
ASGN,6853635584
ASH,6543205376
ASIX,1382077696
ASLE,760632064
ASLN,116447496
ASM,106879736
ASMB,109230304
ASML,354620014592
ASND,8447986176
ASO,4423558144
ASPC,282335424
ASPN,1724893312
ASPS,210105472
ASPU,116767864
ASR,6120000000
ASRT,66474060
ASRV,64520820
ASTC,44721852
ASTE,1607074560
ASTS,617393984
ASUR,168069328
ASX,16256962560
ASXC,408136736
ASYS,219225760
ASZ,1935944320
ATA,146160000
ATAQ,189016384
ATAX,401436416
ATC,4880226304
ATCO,3473864960
ATCX,338031904
ATEC,1173501568
